letter_num,description,mss_ocr,edition,salutation,valid_mss,text,pase_refs,pase_keys,scripture_ref,start_page,end_page
Ep. 001,"Alcvinus amicum in monasterium se abditurum confirmat. De Benedicto monacho.
773—786.

","Cod. H fol, 61'—62"".","Ed , F 211, J. 8, — Migne col. 485.",DILECTISSIMO AMICO TOTIUS PROSPERITATIS PRAESENTIS ET AETERNAE BEATITUDINIS PERPETUAM SALUTEM.,H,True,"['Alcuin 1', 'Anonymous 733', 'Benedict 5']","['1142', '9807', '9808']",NEEDS MANUAL VALIDATION,18,18
Ep. 002,Alcuinus Leutfredum episcopum coennobii Mugensis in Hibernia solatur et confirmat. De Benedicto monacho.,H. fol. 63-63.,"Edd. F 208, J 7 - Migne col. 493",SANCTISSIMO PATRI ET AMANTISSIMO FILIO LEUTFREDO EPISCOPO ALBINUS SALUTEM.,H,True,"['Leothfrith 1', 'Alcuin 1', 'Benedict 6']","['9809', '1142', '9810']",NEEDS MANUAL VALIDATION,19,19
Ep. 003,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,,False,,,NEEDS MANUAL VALIDATION,19,29
Ep. 004,"Alevinus Riculfum Moguntiacensem archiepiscopum multa admonet eiusque litteras
exoptat. (ce. 787.)

",Cod. H fol. 18 — 18'.,"Ed . F 181, J 12.— Migne col. 356.",DAMOETE PISCATORI MAGNO ALBINUS SALUTEM.,H,True,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,29,30
Ep. 005,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, K1, K2, A1, A1*",False,"['Felix 4', 'Alcuin 1']","['1172', '1142']",NEEDS MANUAL VALIDATION,30,31
Ep. 006,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A1, A1*",False,"['Willehad 1', 'Alcuin 1', 'Anonymous 734', 'Anonymi 1982']","['2012', '1142', '9811', '10085']",NEEDS MANUAL VALIDATION,31,31
Ep. 007,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"A1, A1*, A2",False,"['Colchu 1', 'Alcuin 1', 'Charlemagne 1', 'Offa 7', 'Anonymi 1847', 'Joseph 2', 'Anonymi 1844', 'Anonymi 1845', 'Anonymi 1848', 'Anonymi 1849', 'Anonymi 1850', 'Areida 1']","['9813', '1142', '247', '305', '9820', '9816', '9814', '9818', '9821', '9822', '9824', '9823']",NEEDS MANUAL VALIDATION,31,33
Ep. 008,"Alevinus Iosepho significat se propter Aethelredum nuper regem Northanhumbrorum
faclum in Britannia retardari. De Caroli I regis Francorum rebus gestis nunciari sibi
cupit. Varia mandata dat. De Colcu magistro adit. 790 exeunte anno.

","Codd. A 1 fol. 7—8, A2 fol. 165'— 166, A1 p. 9 — 10 n. 48,",Ed . J 16. Initium epistolae habetur ap. Willem. Malmesbur. gest. reg. Anglor. 1. I § 72 p. 7.,FLACCUS ALBINUS FILIO IOSEPHO SALUTEM.,"A1, A2, A1*",True,"['Alcuin 1', 'Eanfrith 6', 'Berdic 1', 'Uinter 1', 'Joseph 2', 'Æthelred 7', 'Æthelwald 14', 'Charlemagne 1', 'Anonymi 1852', 'Anonymi 1853', 'Anonymi 1854', 'Anonymi 1855', 'Colchu 1', 'Anonymi 1851', 'Oduin 1', 'Frotgoneg 1', 'Rufus 1', 'Brorda 4']","['1142', '9828', '9830', '9837', '9816', '2127', '3752', '247', '9832', '9835', '9836', '9838', '9813', '9831', '9827', '9829', '9833', '9834']",NEEDS MANUAL VALIDATION,33,34
Ep. 009,"Alevinus Adalhardo abbati Corbeiae antiquae respondet de suo erga eum amore; de
Aethelredo, novo Northanhumbrorum rege; de pace Caroli et Offae regum componenda;

Angilberto abbati S. Richarii Centulensi salutem mittit. 790 exeunte anno.
","Codd. A1 fol. 9'—11, A 1 p. 14—15 n. 8%",Ed . J 17.,. J 17. DILECTISSIMO IN CHRISTO FRATRI ADALHARDO HUMILIS TUUS GERMANUS ALCVINUS -SALUTEM.,"A1, A1*",True,"['Adalhard 1', 'Alcuin 1', 'Æthelred 7', 'Charlemagne 1', 'Offa 7', 'Etuuit 1', 'Angilberct 1', 'George 2', 'Anonymi 1856', 'Bernher 1', 'Anonymi 1859']","['9839', '1142', '2127', '247', '305', '9842', '9973', '9841', '9843', '9840', '9846']",NEEDS MANUAL VALIDATION,34,35
Ep. 010,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"S1, S1*, A1, A2, A1*",False,"['Arno 1', 'Alcuin 1', 'Æthelred 7', 'Laedred 1']","['9847', '1142', '2127', '9848']",NEEDS MANUAL VALIDATION,35,37
Ep. 011,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, S1a, S1b, S1*, K1, K2, A1, A1*",False,"['Angilberct 1', 'Alcuin 1']","['9973', '1142']",NEEDS MANUAL VALIDATION,37,37
Ep. 012,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T, K1, K2, S1, D",False,"['Anonymi 1860', 'Fordrad 1', 'Alcuin 1']","['9849', '9850', '1142']",NEEDS MANUAL VALIDATION,37,38
Ep. 013,"Alevinus de Ricbodi archiepiscopi Trevirensis quondam discipuli sui absentia et de
intermisso litterarum commercio conqueritur. Reprehendit in eo nimium amorem Maronis.
ce. 791—792,
","Codd. T fol. 58‘ —59 (T fol. 58'— 54), K 1 fol. 30— 31', K2 p. 88—92, Sita fol. 131'—182', b fol. 187—188' (S1 fol. 30—33, 115—116), A1 fol. 86, A1 p. 98 — 99 mr. 645,","Ed , C17. 18, Q.34, F 129, J 216 — Migne col. 440.","PIO PATRID ET AMICO CARISSIMO MACHARIO, MONACHO ET PONTIFICI4!, FLACCUS ALBINUS IN CARITATE CHRISTI SALUTEM.","T, T*, K1, K2, S1a, S1b, S1*, A1, A1*",True,['Alcuin 1'],['1142'],NEEDS MANUAL VALIDATION,38,40
Ep. 014,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,"T*, Q, K1, K2, A1*",False,"['Joseph 2', 'Alcuin 1']","['9816', '1142']",NEEDS MANUAL VALIDATION,40,40
Ep. 015,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,MANUAL VALIDATION NEEDED,H,False,"['Gisla 1', 'Alcuin 1']","['1208', '1142']",NEEDS MANUAL VALIDATION,40,42
Ep. 016,"Alevinus Aethelredum regem Northanhumbrorum eiusque optimates propter ecclesiam
sancti_ Cuthberti Lindisfarnensem a Nortmannis vastatam, ut cum virtute vivant, hortatur.
793 post Iun. 8.

","Codd. (A1 fol. 34837), A1 p. 89-42 mr, 28, A2 fol. 123'—127'. Fragmenta huius epistolae ‘Ecce — exordium.’ ‘Quid — populum’ leguntur etiam apud Willelm. Malmesbir. Gesta veg. Anglor. 2. I § 70 p. 73; pontif. Anglor. 1. III p. 268. 209 ed. Hamilton. Partem (Iicce trecenti —in luctum. Considerate — pro ornamentis) nonnullis additis habet cod. Cantabrig. collegii corpus Christi 190 s. XI fol. 140—142 (Londin. Harleian. 438 f. 145'), quem mihi descripsit V. Cl. R. Harmer bibliothecarius.","Ed , F' 12, Haddan and Stubbs Councils III, 492—95, J 22. — Migne col. 161.",DOMINO DILECTISSIMO AEDELREDO REGI ET OMNIBUS OPTIMATIBUS EIUS HUMILIS LEVITA ALCHVINE> SALUTEM.,"A1, A1*, A2",True,"['Alcuin 1', 'Æthelred 7', 'Anonymi 1861', 'Anonymi 1862', 'Anonymi 1864', 'Anonymi 1866', 'Paulinus 1', 'Anonymi 1863', 'Ælfwald 7', 'Anonymi 1865', 'Cuthbert 1']","['1142', '2127', '9852', '9853', '9858', '9860', '862', '9854', '7250', '9859', '930']",NEEDS MANUAL VALIDATION,42,45
Ep. 017,"Alevinus Aethelhardum archiepiscopum Cantuariensem ex Nortmannorum in Bri-
tanniam irruptione ad concordiam cum ceteris episcopis habendam hominesque intrepide
corrigendos adhortatur. 793 post Iun. 8.

","Codd. T fol. 48—51 (T fol. 44—47'), K1 fol. 8—7, K2 p. 2-18, Q fol. 118—119', S1 fol. 163—167' (S1 fol. 77'—80), (A1 fol. 68—72), A1 p. 75—80' nr. 51 A2 fol. 140'—146'. Exstat etiam in codd. Collegii corpus Christi Cantabrig. s. XI 190 fol. 173—179 et 265 f. 7—13 (Nasmith Catal. codd. 270. 310). Fragmentum habet Willelm. Malmesbir. Gesta reg. Anglor. I § 70 p. 74%.","Ed . C1, Q 28 (cf. col. 1718), F' 9, Haddan and Stubbs Councils ITI, 478, J 28. — Migne col. 152,",PIO PATRI ET SANCTAE SEDIS PRAESULI AEDILHARDO? ARCHIEPISCOPO ' HUMILIS LEVITA ALBINUS¢ SALUTEM.,"T, T*, K1, K2, Q, S1, S1*, A1, A1*, A2",True,"['Alcuin 1', 'Æthelheard 13', 'Gildas 1']","['1142', '2121', '9862']",NEEDS MANUAL VALIDATION,45,49
